id;diligenciado;estudiantep_id;estudiantee_id;estudiantea_id
1;true;5f19de00-d851-44e4-b73b-787e87d87e10;1;1
2;true;e40fb508-5454-4645-a214-b2e9be1a93da;2;2
3;false;9df6893b-b789-41c5-b980-6424b8edd54d;3;3
4;true;83279e09-225b-4820-a26c-704e3aea6851;4;4
5;true;d703b979-60e5-4189-be0b-2db40904bd8c;5;5
6;false;de416950-ae13-4fa3-a420-e75976df7182;6;6
7;true;5168702b-4492-4378-afee-33f8454a68a1;7;7
8;true;0d52e674-713a-42f1-8c84-fe40bfb2431e;8;8
9;false;2532ffcf-8e27-4121-8d59-aaf572bc0666;9;9
10;false;df8920bc-29fe-45e8-a40f-750c30833bb2;10;10
