id;ciudad;departamento;pais;colegio;year;modalidad;puntaje_icfes
1;Asturias quantifying transmit;Pizza Som;circuito;Totalmente Account back-end;11974;iterate;84695
2;back;web Atún Marroquinería;navigating Credit;Ordenador navigating;97129;firewall;87009
3;Checking;Coche;Belarussian innovate Inteligente;AGP extensible;5365;Bebes JBOD;49037
4;Rua;quantifying 1080p channels;deposit;Amarillo Bicicleta;70769;Deportes;63992
5;synthesizing Cine;connecting;Plástico repurpose Desarrollador;Increible Sorprendente;78518;Camerún Bedfordshire;3055
6;León Canarias;SAS;Genérico;Guayana Granito;78821;copy Account Taka;73519
7;withdrawal;scale;Avon Violeta;reboot solutions;51312;Asociado orchestrate Guapa;35078
8;Account visualize;metódica;value-added override;Optimización customized;77652;strategize;74042
9;Verde analista Pre-emptivo;Money;e-tailers;Rincón;2638;ábanico Polígono reboot;16016
10;Seguro;Avon;syndicate;Uganda;29413;Inversor Verde;4806
