id;institucion;estudio;graduado;year;titulo_obtenido;nivel
1;Hormigon Caimán;85069;true;45310;neural alarm Versatil;Deportes
2;hard;74973;false;61330;monitorizar Navarra;Francia auxiliary desafío
3;Comunicaciones Refinado brand;75366;true;92485;Amarillo Gris;digital primary Granito
4;Adelante;92231;true;79153;sistémica;invoice
5;Avenida Rincón Ergonómico;86466;true;92498;Bacon;Congolese previsión navigating
6;deposit;94655;false;38972;Dominicana;Videojuegos
7;experiences Mongolia;22770;false;78031;Andalucía aggregate Apartamento;CSS infomediaries
8;Ferrocarril Tácticas Serbian;52029;true;15688;Increible;scalable users TCP
9;Rupee;55859;true;66336;Berkshire cultivate;Navarra hacking País
10;algoritmo;64734;true;53546;Hormigon Cambridgeshire;Orgánico
